endpoint,params,timestamp,row_count
2000/sf3/tract,state=19; vars=P053001;P087002;P087001;P037003;P037004;P037005;P037006;P037007;P037008;P037009;P037010;P037011;P037020;P037021;P037022;P037023;P037024;P037025;P037026;P037027;P037028;P037001;P043007;P043014;P043005;P043012;H020005;H020006;H020007;H020011;H020012;H020013;H020001,2026-07-24 14:53:15.110257,26169
2000/sf3/tract,state=20; vars=P053001;P087002;P087001;P037003;P037004;P037005;P037006;P037007;P037008;P037009;P037010;P037011;P037020;P037021;P037022;P037023;P037024;P037025;P037026;P037027;P037028;P037001;P043007;P043014;P043005;P043012;H020005;H020006;H020007;H020011;H020012;H020013;H020001,2026-07-24 14:53:16.116458,23991
2000/sf3/tract,state=21; vars=P053001;P087002;P087001;P037003;P037004;P037005;P037006;P037007;P037008;P037009;P037010;P037011;P037020;P037021;P037022;P037023;P037024;P037025;P037026;P037027;P037028;P037001;P043007;P043014;P043005;P043012;H020005;H020006;H020007;H020011;H020012;H020013;H020001,2026-07-24 14:53:17.274859,32802
2000/sf3/tract,state=22; vars=P053001;P087002;P087001;P037003;P037004;P037005;P037006;P037007;P037008;P037009;P037010;P037011;P037020;P037021;P037022;P037023;P037024;P037025;P037026;P037027;P037028;P037001;P043007;P043014;P043005;P043012;H020005;H020006;H020007;H020011;H020012;H020013;H020001,2026-07-24 14:53:18.459061,36498
2000/sf3/tract,state=23; vars=P053001;P087002;P087001;P037003;P037004;P037005;P037006;P037007;P037008;P037009;P037010;P037011;P037020;P037021;P037022;P037023;P037024;P037025;P037026;P037027;P037028;P037001;P043007;P043014;P043005;P043012;H020005;H020006;H020007;H020011;H020012;H020013;H020001,2026-07-24 14:53:19.206083,11484
2000/sf3/tract,state=24; vars=P053001;P087002;P087001;P037003;P037004;P037005;P037006;P037007;P037008;P037009;P037010;P037011;P037020;P037021;P037022;P037023;P037024;P037025;P037026;P037027;P037028;P037001;P043007;P043014;P043005;P043012;H020005;H020006;H020007;H020011;H020012;H020013;H020001,2026-07-24 14:53:20.415946,40194
2000/sf3/tract,state=25; vars=P053001;P087002;P087001;P037003;P037004;P037005;P037006;P037007;P037008;P037009;P037010;P037011;P037020;P037021;P037022;P037023;P037024;P037025;P037026;P037027;P037028;P037001;P043007;P043014;P043005;P043012;H020005;H020006;H020007;H020011;H020012;H020013;H020001,2026-07-24 14:53:21.750095,45111
2000/sf3/tract,state=26; vars=P053001;P087002;P087001;P037003;P037004;P037005;P037006;P037007;P037008;P037009;P037010;P037011;P037020;P037021;P037022;P037023;P037024;P037025;P037026;P037027;P037028;P037001;P043007;P043014;P043005;P043012;H020005;H020006;H020007;H020011;H020012;H020013;H020001,2026-07-24 14:53:23.671469,90981
2000/sf3/tract,state=27; vars=P053001;P087002;P087001;P037003;P037004;P037005;P037006;P037007;P037008;P037009;P037010;P037011;P037020;P037021;P037022;P037023;P037024;P037025;P037026;P037027;P037028;P037001;P043007;P043014;P043005;P043012;H020005;H020006;H020007;H020011;H020012;H020013;H020001,2026-07-24 14:53:24.823856,42999
2000/sf3/tract,state=28; vars=P053001;P087002;P087001;P037003;P037004;P037005;P037006;P037007;P037008;P037009;P037010;P037011;P037020;P037021;P037022;P037023;P037024;P037025;P037026;P037027;P037028;P037001;P043007;P043014;P043005;P043012;H020005;H020006;H020007;H020011;H020012;H020013;H020001,2026-07-24 14:53:25.688094,19965
